dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6644, TestAcc: 0.8500, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6678, TestAcc: 0.8540, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6809, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.0, alpha: 0.5, Loss: 1.1363, TestAcc: 0.8130, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6631, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6736, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6750, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6904, TestAcc: 0.8530, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6962, TestAcc: 0.8490, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.9444, TestAcc: 0.8500, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6808, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6881, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6939, TestAcc: 0.8470, Overall
