0.0, 0.0, 0.8410, 
0.0, 0.1, 0.8440, 
0.0, 0.2, 0.8470, 
0.0, 0.3, 0.8480, 
0.0, 0.4, 0.8490, 
0.0, 0.5, 0.8420, 
0.1, 0.0, 0.8430, 
0.1, 0.1, 0.8480, 
0.1, 0.2, 0.8490, 
0.1, 0.3, 0.8470, 
0.1, 0.4, 0.8490, 
0.1, 0.5, 0.8430, 
0.2, 0.0, 0.8410, 
0.2, 0.1, 0.8430, 
0.2, 0.2, 0.8440, 
0.2, 0.3, 0.8480, 
0.2, 0.4, 0.8490, 
0.2, 0.5, 0.8450, 
0.3, 0.0, 0.8420, 
0.3, 0.1, 0.8500, 
0.3, 0.2, 0.8540, 
0.3, 0.3, 0.8490, 
0.3, 0.4, 0.8530, 
0.3, 0.5, 0.8320, 
0.4, 0.0, 0.8460, 
0.4, 0.1, 0.8470, 
0.4, 0.2, 0.8510, 
0.4, 0.3, 0.8510, 
0.4, 0.4, 0.8500, 
0.4, 0.5, 0.8430, 
0.5, 0.0, 0.8520, 
0.5, 0.1, 0.8550, 
0.5, 0.2, 0.8500, 
0.5, 0.3, 0.8570, 
0.5, 0.4, 0.8350, 
0.5, 0.5, 0.8320, 
