0.0, 0.0, 0.7640, 
0.0, 0.1, 0.8150, 
0.0, 0.2, 0.7770, 
0.0, 0.3, 0.7820, 
0.0, 0.4, 0.7840, 
0.0, 0.5, 0.8210, 
0.1, 0.0, 0.8100, 
0.1, 0.1, 0.8160, 
0.1, 0.2, 0.8260, 
0.1, 0.3, 0.8030, 
0.1, 0.4, 0.8090, 
0.1, 0.5, 0.7840, 
0.2, 0.0, 0.8170, 
0.2, 0.1, 0.8220, 
0.2, 0.2, 0.8210, 
0.2, 0.3, 0.8230, 
0.2, 0.4, 0.7970, 
0.2, 0.5, 0.7900, 
0.3, 0.0, 0.8200, 
0.3, 0.1, 0.8340, 
0.3, 0.2, 0.8210, 
0.3, 0.3, 0.8330, 
0.3, 0.4, 0.7940, 
0.3, 0.5, 0.8250, 
0.4, 0.0, 0.8260, 
0.4, 0.1, 0.8240, 
0.4, 0.2, 0.8260, 
0.4, 0.3, 0.8180, 
0.4, 0.4, 0.8110, 
0.4, 0.5, 0.7950, 
0.5, 0.0, 0.8250, 
0.5, 0.1, 0.8120, 
0.5, 0.2, 0.8180, 
0.5, 0.3, 0.8170, 
0.5, 0.4, 0.7950, 
0.5, 0.5, 0.7340, 
