0.0, 0.0, 0.2730, 
0.0, 0.1, 0.4890, 
0.0, 0.2, 0.5280, 
0.0, 0.3, 0.5910, 
0.0, 0.4, 0.6250, 
0.0, 0.5, 0.7370, 
0.1, 0.0, 0.5450, 
0.1, 0.1, 0.7510, 
0.1, 0.2, 0.7500, 
0.1, 0.3, 0.7410, 
0.1, 0.4, 0.7380, 
0.1, 0.5, 0.7390, 
0.2, 0.0, 0.7530, 
0.2, 0.1, 0.7480, 
0.2, 0.2, 0.7480, 
0.2, 0.3, 0.7430, 
0.2, 0.4, 0.7410, 
0.2, 0.5, 0.7370, 
0.3, 0.0, 0.7580, 
0.3, 0.1, 0.7560, 
0.3, 0.2, 0.7460, 
0.3, 0.3, 0.7440, 
0.3, 0.4, 0.7430, 
0.3, 0.5, 0.7390, 
0.4, 0.0, 0.7470, 
0.4, 0.1, 0.7500, 
0.4, 0.2, 0.7480, 
0.4, 0.3, 0.7450, 
0.4, 0.4, 0.7430, 
0.4, 0.5, 0.7330, 
0.5, 0.0, 0.7580, 
0.5, 0.1, 0.7470, 
0.5, 0.2, 0.7500, 
0.5, 0.3, 0.7440, 
0.5, 0.4, 0.7440, 
0.5, 0.5, 0.7390, 
